Address,City,State,Zip,Value,Sqft,Beds,Baths,BuildYear,DateLastRemodel,DaysOnMarket,LastSaleDate,NextSaleDate,SourceType,Latitude,Longitude,Description
2000 N SAINT LUKE AVE,MIDWEST CITY,OK,,"40,000","1,282",3,1,1952,1960,,,12/2/2021,Sheriff,,,"This single-family home is located at 2000 N Saint Luke Ave, Oklahoma City, OK. 2000 N Saint Luke Ave is in Oklahoma City, OK and in ZIP code 73141. This property has 3 bedrooms, 1 bathroom and approximately 1,282 sqft of floor space. This property has a lot size of 0.70 acres and was built in 1952."
808 NW 141ST ST,OKLAHOMA CITY,OK,,"135,000",768,2,1,1948,1997,,,12/2/2021,Sheriff,,,"This single-family home is located at 808 NW 141st St, Edmond, OK. 808 NW 141st St is in Edmond, OK and in ZIP code 73013. This property has 3 bedrooms, 2 bathrooms and approximately 1,829 sqft of floor space. This property has a lot size of 8,281 sqft and was built in 1990."
700 NW 116TH ST,OKLAHOMA CITY,OK,73114,"110,000","1,507",3,1.5,1979,,,,12/2/2021,Sheriff,35.588104,-97.52622,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 1,507 square feet property features 3 beds and 1.5 baths. It is located in Oklahoma County in the city of Oklahoma City. Be ready to bid and buy at auction on 12-02-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
11909 BLUE MOON AVE,OKLAHOMA CITY,OK,73162,"100,000","1,366",3,2,1985,,,,12/2/2021,Sheriff,35.59123,-97.66557,"This single-family home is located at 11909 Blue Moon Ave, Oklahoma City, OK. 11909 Blue Moon Ave is in Oklahoma City, OK and in ZIP code 73162. This property has 3 bedrooms, 2 bathrooms and approximately 1,339 sqft of floor space. This property has a lot size of 6,299 sqft and was built in 1985."
6321 WOODCREEK DR,WARR ACRES,OK,73122,"210,000","2,160",3,2,1996,,,,12/2/2021,Sheriff,35.535896,-97.62502,
917 NW 103RD ST,OKLAHOMA CITY,OK,73114,"35,000",834,2,1,1948,1970,,,12/2/2021,Sheriff,35.575718,-97.52956,"This single-family home is located at 917 NW 103rd St, Oklahoma City, OK. 917 NW 103rd St is in Oklahoma City, OK and in ZIP code 73114. This property has 2 bedrooms, 1 bathroom and approximately 834 sqft of floor space. This property has a lot size of 7,701 sqft and was built in 1948."
4616 N LIBBY AVE,WARR ACRES,OK,73122,"100,000","1,463",2,2,1954,1975,,,12/2/2021,Sheriff,35.518097,-97.6051,
6721 CHERRY PL,OKLAHOMA CITY,OK,73127,"100,000","1,391",3,2,1967,1979,,,12/2/2021,Sheriff,35.472157,-97.630745,"This single-family home is located at 6721 Cherry Pl, Oklahoma City, OK. 6721 Cherry Pl is in Oklahoma City, OK and in ZIP code 73127. This property has 3 bedrooms, 2 bathrooms and approximately 1,391 sqft of floor space. This property has a lot size of 7,200 sqft and was built in 1967."
2601 NW 27TH ST,OKLAHOMA CITY,OK,73107,"105,000","1,926",3,1.5,1939,1955,,,12/2/2021,Sheriff,35.496796,-97.55913,"Investor opportunity! This property is being offered at Public Auction on 04-04-2019. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 10 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 30 properties scheduled for sale in Oklahoma County and 214 throughout Oklahoma. All properties and sale details can be found with a simple search at Auction.com. Create a FREE account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2759465 into the search bar at Auction.com"
4613 NW 28TH ST,OKLAHOMA CITY,OK,73127,"170,000","2,380",3,2.5,1965,,,,12/2/2021,Sheriff,35.49879,-97.60392,"Great location in desirable Windsor Hills. This beauty sits on a corner lot with circle drive. 2380 sq ft with 3 living, 3 bedrooms,2.5 bath. Fireplace, extra space would make a great office or homeschool. Huge Storm Shelter, and very nice workshop. fenced yard. Garage doors are sealed, but easily converted back by unsealing the doors."
322 E ROSE DR,MIDWEST CITY,OK,73110,"40,000",725,2,1,1950,1985,,,12/2/2021,Sheriff,35.45424,-97.394775,
700 E TOWRY DR,MIDWEST CITY,OK,73110,"100,000","1,134",3,1.5,1955,,,,12/2/2021,Sheriff,35.45799,-97.38666,
418 E NORTHRUP DR,MIDWEST CITY,OK,73110,"45,000",819,2,1,1948,,,,12/2/2021,Sheriff,35.44694,-97.393875,
221 OAK TREE DR,MIDWEST CITY,OK,73130,"110,000","1,641",3,2,1983,,,,12/2/2021,Sheriff,35.46595,-97.35535,
6058 NW EXPRESSWAY ST,OKLAHOMA CITY,OK,,"30,000",816,1,1,1979,,,,12/16/2021,Sheriff,,,
13525 HUMMINGBIRD DR,CHOCTAW,OK,73020,"175,000","2,056",3,2,1978,2004,,,12/16/2021,Sheriff,35.452564,-97.291214,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 2,056 square feet property features 3 beds and 1.0 bath. It is located in Oklahoma County in the city of Choctaw. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
532 SW 52ND ST,OKLAHOMA CITY,OK,73109,"110,000","2,126",3,2,1953,,,,12/16/2021,Sheriff,35.41258,-97.5223,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 2,126 square feet property features 3 beds and 2.0 baths. It is located in Oklahoma County in the city of Okc. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
1404 SW 54TH ST,OKLAHOMA CITY,OK,73119,"60,000",984,2,1,1950,1975,,,12/16/2021,Sheriff,35.411045,-97.541374,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 984 square feet property features 2 beds and 1.0 bath. It is located in Oklahoma County in the city of Oklahoma City. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
431 NW 47TH ST,OKLAHOMA CITY,OK,73118,"110,000","1,258",3,1,1950,,,,12/16/2021,Sheriff,35.519608,-97.52016,"This single-family home is located at 431 NW 47th St, Oklahoma City, OK. 431 NW 47th St is in the Edgemere Heights neighborhood in Oklahoma City, OK and in ZIP code 73118. This property has 3 bedrooms, 1 bathroom and approximately 1,258 sqft of floor space. This property has a lot size of 6,534 sqft and was built in 1950."
3712 CHETWOOD DR,DEL CITY,OK,73115,"90,000","1,600",3,2,1966,2010,,,12/16/2021,Sheriff,35.424324,-97.44934,
3216 CUMBERLAND DR,EDMOND,OK,73034,"550,000","3,896",4,4,2007,,,,12/16/2021,Sheriff,35.68711,-97.43419,"This single-family home is located at 3216 Cumberland Dr, Edmond, OK. 3216 Cumberland Dr is in Edmond, OK and in ZIP code 73034. This property has 4 bedrooms, 4 bathrooms and approximately 3,896 sqft of floor space. This property has a lot size of 0.44 acres and was built in 2007."
2624 SW 48TH ST,OKLAHOMA CITY,OK,73119,"20,000",843,2,1,1954,1980,,,12/16/2021,Sheriff,35.415825,-97.55941,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 843 square feet property features 2 beds and 1.0 bath. It is located in Oklahoma County in the city of Oklahoma City. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
3124 SW 40TH ST,OKLAHOMA CITY,OK,73119,"45,000","1,233",4,1.5,1951,2000,,,12/16/2021,Sheriff,35.424713,-97.570885,"This single-family home is located at 3124 SW 40th St, Oklahoma City, OK. 3124 SW 40th St is in Oklahoma City, OK and in ZIP code 73119. This property has 4 bedrooms, 1.5 bathrooms and approximately 1,233 sqft of floor space. This property has a lot size of 6,499 sqft and was built in 1951."
16624 SUNNY HOLLOW RD,OKLAHOMA CITY,OK,,"150,000","2,254",3,2,1986,1987,,,12/16/2021,Sheriff,,,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 2,254 square feet property features 3 beds and 2.0 baths. It is located in Oklahoma County in the city of Oklahoma City. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
3608 SHADYBROOK DR,MIDWEST CITY,OK,73110,"80,000","1,405",3,2,1959,,,,12/16/2021,Sheriff,35.47705,-97.399,
4920 NW 18TH TER,OKLAHOMA CITY,OK,73127,"120,000","1,464",3,2,1966,,,,12/16/2021,Sheriff,35.48877,-97.61136,"Located in a nice quiet neighborhood, this beautiful home is nestled on a large lot (79'x118') in the Putnam City School system. Tons and tons of remodeling, new kitchen, all new appliances, flooring, paint, windows, heat & air and so much more means this home is ready for you. The large outbuilding (approx. 16'x16') with lean-to is a great bonus. The master is downstairs and the 2 extra bedrooms are upstairs. There is a study/flex room right off the entry too. Great access to the rear of the property via a large side gate. Don't miss this nice remodel!!!"
5417 S MCKINLEY AVE,OKLAHOMA CITY,OK,73109,"80,000",959,3,1.5,1963,,,,12/16/2021,Sheriff,35.411804,-97.537025,"This single-family home is located at 5417 S McKinley Ave, Oklahoma City, OK. 5417 S McKinley Ave is in Oklahoma City, OK and in ZIP code 73109. This property has 3 bedrooms, 1.5 bathrooms and approximately 959 sqft of floor space. This property has a lot size of 7,000 sqft and was built in 1963."
1200 W WOODLANE DR,MIDWEST CITY,OK,73110,"160,000","2,280",3,2.5,1961,,,,12/16/2021,Sheriff,35.468678,-97.416115,
8900 KIMBERLY RD,OKLAHOMA CITY,OK,73132,"90,000","1,631",3,2,1979,,,,12/16/2021,Sheriff,35.561783,-97.67019,"This single-family home is located at 8900 Kimberly Rd, Oklahoma City, OK. 8900 Kimberly Rd is in Oklahoma City, OK and in ZIP code 73132. This property has 3 bedrooms, 2 bathrooms and approximately 1,631 sqft of floor space. This property has a lot size of 8,385 sqft and was built in 1979."
15825 SONYA WAY,OKLAHOMA CITY,OK,,"135,000","1,557",3,2,2011,,,,12/16/2021,Sheriff,,,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 1,567 square feet property features 3 beds and 2.0 baths. It is located in Oklahoma County in the city of Oklahoma City. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
2933 SW 63RD ST,OKLAHOMA CITY,OK,73159,"60,000","1,492",3,1.5,1960,,,,12/16/2021,Sheriff,35.400257,-97.56646,"This single-family home is located at 2933 SW 63rd St, Oklahoma City, OK. 2933 SW 63rd St is in the I-240 Corridor neighborhood in Oklahoma City, OK and in ZIP code 73159. It is currently for sale and has been listed on Trulia for 1 day. This property has 3 bedrooms, 1 bathroom and approximately 1,492 sqft of floor space. This property has a lot size of 6,534 sqft and was built in 1960."
1021 HOWARD DR,DEL CITY,OK,73115,"80,000","1,140",3,2,1961,1970,,,12/16/2021,Sheriff,35.45469,-97.428215,
5308 SE 12TH ST,DEL CITY,OK,73115,"115,000","1,527",3,2,1963,2005,,,12/16/2021,Sheriff,35.45327,-97.42571,
541 OAK PARK DR,CHOCTAW,OK,73020,"80,000","1,163",3,1,1978,2005,,,12/16/2021,Sheriff,35.47317,-97.27473,"Main bath completly remodeled, New Roof summer 2009, Brand new carpet, New heat pump summer 2010, Front exterior painted recently, Beautiful backyard, 24x30 Workshop fully insulated and electric with carlift if interested, 5 foot chain link with privacy fence toward the front. 20 x 20 huge sandbox area w/ swingset. Drive-thru access to shop in backyard.

Neighborhood Description

Wonderfully great neighborhood. We have lived there and raised our 2 young children for 11 years. People of all ages. Oak Park is on the back side of the neighborhood and does not have alot of traffic through there."
6925 BRIARCREEK DR,OKLAHOMA CITY,OK,73162,"160,000","2,920",4,2,1983,,,,12/16/2021,Sheriff,35.57242,-97.6356,"Big home on a great street in Briarcreek! This is a 4 bedroom, 2 full bathroom spacious home at 2920 sq ft. This home is selling AS-IS. Make an offer! You do not want to miss this opportunity."
1013 SANDY LN,CHOCTAW,OK,73020,"70,000","1,104",4,2,1963,,,,12/16/2021,Sheriff,35.477768,-97.27442,"Property is a cute 3 bed , 2 bath brick home with a large back yard. Garage has been converted. Granite countertops in kitchen and bathroom. Wood floors throughout. Foreclosure! Time is of the Essence!!"
1816 NE 26TH ST,OKLAHOMA CITY,OK,73111,"45,000","1,136",3,1.5,1957,,,,12/16/2021,Sheriff,35.49676,-97.48067,"This single-family home is located at 1816 NE 26th St, Oklahoma City, OK. 1816 NE 26th St is in Oklahoma City, OK and in ZIP code 73111. This property has 3 bedrooms, 1.5 bathrooms and approximately 1,136 sqft of floor space. This property has a lot size of 8,102 sqft and was built in 1957."
3221 CHETWOOD DR,DEL CITY,OK,73115,"55,000","1,144",3,1.5,1963,2002,,,12/16/2021,Sheriff,35.42543,-97.455605,
4912 S DREXEL AVE,OKLAHOMA CITY,OK,73119,"30,000",875,3,1,1953,,,,12/16/2021,Sheriff,35.416637,-97.5693,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 875 square feet property features 3 beds and 1.0 bath. It is located in Oklahoma County in the city of Oklahoma City. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
5511 JUDY DR,DEL CITY,OK,73115,"130,000","1,897",3,2,1964,2000,,,12/16/2021,Sheriff,35.456913,-97.42576,
2120 SHOREWOOD LN,EDMOND,OK,73003,"140,000","1,610",3,2,1984,,,,12/16/2021,Sheriff,35.65585,-97.51185,"SPACIOUS WELL KEPT HOME LOCATED IN A DESIRABLE NEIGHBORHOOD. Large living features a cathedral ceiling, corner fireplace, bookshelves and a view of the beautiful back yard. The dining room will hold a large table. Kitchen includes ample counter space, newer quiet dishwasher, large pantry and a window over the sink that has a view of landscaped backyard. All bedrooms are spacious, especially the Master bedroom. Master bedroom will hold a kings size bed and still have room for a sitting area. The home also features an energy efficent heat and air system for low utility bills. This home has storage everywhere you look! The yard is beautifully landscaped with perennial flowers and bulbs. To keep the yard looking gorgeous all year, there is a sprinkler system in the front and back yards."
728 MUSGRAVE BLVD,OKLAHOMA CITY,OK,73114,"45,000","1,132",3,2,1971,1978,,,12/16/2021,Sheriff,35.553772,-97.50122,"This single-family home is located at 728 Musgrave Blvd, Oklahoma City, OK. 728 Musgrave Blvd is in Oklahoma City, OK and in ZIP code 73114. This property has 3 bedrooms, 1.8 bathrooms and approximately 1,132 sqft of floor space. This property has a lot size of 7,876 sqft and was built in 1971."
4706 S BLACKWELDER AVE,OKLAHOMA CITY,OK,73119,"45,000",891,3,1,1958,,,,12/16/2021,Sheriff,35.41841,-97.53908,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. It is located in Oklahoma County in the city of Oklahoma City. Be ready to bid and buy at auction on 12-16-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
