Price,Beds,Bath,Sqft,Address,City,State,Zip,Description
"$272,990 ",4bd,2ba,"2,031 sqft",4204 Moonlight Rd,Mustang,OK,73064,"The thoughtfully designed Kingston plan offers 2,031 square feet with 4 bedrooms and 2 full baths. This plan was designed with your family in mind and offers comfortable living, with an inviting entryway that leads you into the kitchen and central family room. The kitchen has an extra-large island with beautiful granite countertops and an overhang for seating, lots of cabinets for storage, Whirlpool stainless steel appliances, a gas range, and a large walk-in pantry. Off the central family room is the primary bedroom and bathroom with a large walk-in closet. The exterior of the house includes a fully sodded yard, sprinkler system, 6' privacy fence, a covered patio, and a beautiful landscaping package at the front entrance. Pictures are of a previously completed Kingston plan – colors are different (cabinets, walls, flooring, etc.). Estimated completion March 2022. Make it yours TODAY!"
"$154,000 ",3bd,2ba,"1,075 sqft",401 W Hillcrest Dr,Mustang,OK,73064,"Can't miss this adorable 3 bedroom home, situated on a spacious corner lot, in the desirable Mustang school district! Includes bonus room and plenty of parking. Located right by schools, this home is ideal for families, Close to all your shopping needs and easy access to the Turnpike. Come see your new home!"
"$425,000 ",4bd,3ba,"2,485 sqft",5701 Copper Stone Ct,Mustang,OK,73064,"You will absolutely love this stunning new Charleston floorplan. This open concept plan has the perfect layout with 4 bedrooms, a flex room and 3 full baths. The chef’s kitchen features custom cabinetry built to the ceiling, cast iron farm sink in the island, 5 burner, gas cooktop & vented hood & a nice sized walk-in pantry. There is a separate dining area that will accommodate a large table, and a spacious living that features a cathedral ceiling, corner fireplace and lots of windows for natural light. Secluded master has a dual sink vanity, European shower and a free standing tub for hours of relaxation, plus it connects to the utility room. To top it all off, there’s a large covered patio that overlooks the oversized corner lot. Energy efficient with spray foam insulation, Low-e windows & LED lighting for lower utility bills. ESTIMATED COMPLETION DATE IS FEBRUARY 2022."
"$377,000 ",4bd,3ba,"2,214 sqft (on 0.28 acres)",12104 SW 51st St,Mustang,OK,73064,"The SEWARD plan has the perfect layout & so much character. This modern farmhouse features high vaulted ceilings, generous natural light & a fireplace that sets the scene for this amazing home. The dream kitchen is a shop stopper with gorgeous custom built cabinetry to the ceiling, designer hardware and lighting, stainless appliances and walk in pantry with ample storage. The master suite is free of distractions and tucked away for privacy, and the master bath is a true retreat with a freestanding tub, double sinks plus it’s conveniently connected to the laundry room. All 4 bedrooms are spacious with access to a full bath. This wonderful neighborhood has the perfect location because it's within minutes of shopping, restaurants, highways and more. Come marvel at the quality of this home and make it your own! Estimated Completion Date March 2022."
"$189,995 ",3bd,2ba,"1,300 sqft",1117 Appaloosa Ln,Mustang,OK,73064,"This brand new neighborhood truly is in a PRIME location approximately .5 mile South of HWY 152 and Sara Rd. That is where just about everything is located: St. Anthony Hospital, Lowes, Walmart, Restaurants, the list goes on! This home is under construction but can be reserved today. Let us introduce to you The Ashton floor design. This top selling design offers versatility, functional, and style! The kitchen features an abundance of storage and countertop space with a nice‌‌‌‌‌‌‌‌ pantry"
"$425,000 ",4bd,3ba,"2,904 sqft",831 Siena Springs Dr,Norman,OK,73071,"Neighborhood lake with fishing access for residents. Tucked away neighborhood yet close to campus and convenient to shopping. Established trees in the backyard make a shade as well as hammock spots. The eastern facing backyard cast cool shade all afternoon, prefect for grilling and outdoor living. 4 large bedrooms with ample closet storage space 3 bath 3 car garage. Up stairs over looks living room. Back yard looks into woods. Outside storm cellar, beautiful wood work. Stone fireplace, tall ceilings, kitchen bar."
"$325,000 ",3bd,2ba,"1,440 sqft",3029 Yosemite Dr,Norman,OK,73071,"Great for investor or potential home owner. Great property, Great location, Great neighborhood!!!"
"$439,915 ",4bd,3ba,"2,751 sqft (on 0.50 acres)",18389 Posse Trl,Norman,OK,73071,"Upon entering the home, guests are greeted with a view of the spacious formal dining room, elegant study space, and an inviting open-concept living room space with a cozy corner fireplace. This home design includes a spacious kitchen featuring beautiful cabinetry, a large kitchen island, granite countertops, and a bar that overlooks the spacious living room. The kitchen also opens to the beautiful, well-lit dining area and has access to the covered patio. Adjacent to the living room, the private master suite features high ceilings and a relaxing master bathroom with a dual-sink vanity, soaking tub, separate shower, private toilet area, and huge walk-in closet. On the opposite side of the home, you can find two secondary bedrooms with an adjoining Jack-and-Jill bathroom. With over 2,700+ square feet of spacious living our beautiful 4 bedroom, 3 bathroom Oxford designer home has everything you ever desired and more."
"$486,000 ",4bd,3ba,"3,055 sqft (on 0.27 acres)",950 Siena Springs Dr,Norman,OK,73071,"Stunning custom home on lake front property in Norman! Own your own beautiful views from gorgeous home in prestigious Siena Springs. Front door opens to a graceful staircase. Circling around to the right leads you to spacious living room with picture windows to lake view and gas fireplace to cozy your home in winter. Lots of space to cook and bake and enjoy your very own gathering place in expansive kitchen with large granite-topped island! Open concept through dining area and living room; you'll love the privacy the lake view affords. Formal dining room could be used as music room, play room, study or creative-pursuits room! Large master bedroom on main floor has bathroom suite with walk-in closet, roomy stand up shower, jetted tub and double vanities. Den upstairs is a multi-purpose area. Additional 400 sq ft unfinished in attic area behind door in den. Upstairs 3 bedrooms share Jack-n-Jill bath. Large utility room and 3-car garage. Come and fall in love with your new home today!"
"$274,999 ",4bd,4ba,"2,475 sqft (on 0.26 acres)",1226 Barkley Ave,Norman,OK,73071,"Rare find...Two master suites...Spacious home featuring 4 bedrooms, 3.5 baths, formal dining and study! Updated vinyl plank flooring and new carpet. Other updates include fresh interior paint, roof 2019, windows 2010, sewer line 2011, 5 burn gas range! All this plus, wood burning fireplace and basement on a large lot with mature trees."
"$298,999 ",4bd,2ba,"1,873 sqft",2805 Summit Crossing Pkwy,Norman,OK,73071,"New construction with fantastic open floorplan! 4 Bedrooms, 2 Full Baths, and 3 Car Garage. Master has walk-in shower and double vanities. ""Energy Efficient"" HERS Rating Certificate. Also, builder will pay closing costs (except pre-paid) when using Builder Preferred Lender."
"$199,500 ",2bd,1ba,"1,096 sqft (on 5 acres)",16612 S Air Depot Blvd,Norman,OK,73071,"Older home and has renter in it at the present time. Out in the country, but still in city limits. Within minutes to town. Peaceful with most neighbors owning at least 5 acre tracts. Moore schools. Fire Department 1 1/2 miles. Drilled new water well 5 years ago. A portion of the property has trees. Most of property is fenced. House on well and septic system."
"$212,000 ",3bd,1ba,"1,333 sqft",430 Ferrill St,Norman,OK,73071,"Pretty home in a central location. Located near local schools and OU campus. With a metal roof and a covered patio. Real wood oak floors original to the home. Seller is selling the property AS IS. Dishwasher, washer/dryer, and fridge being sold with the home."
"$139,900 ",3bd,2ba,"1,178 sqft",1307 N Tenkiller Ln,Norman,OK,73071,"Investors look no further, this 3 bedroom, 2 bathroom home is ternate occupied and a great rental property. Great floorplan and there are additional properties that could be packaged together. Ask your realtor or I can help answer. 6 left, all tenant occupied single family homes."
"$298,999 ",4bd,2ba,"1,873 sqft",2801 Summit Crossing Pkwy,Norman,OK,73071,
"$381,920 ",4bd,3ba,"2,464 sqft",11205 Eagle Ct,Yukon,OK,73099,Entered for comps only.
"$105,000 ",2bd,1ba,"1,092 sqft",10 S 9th St,Yukon,OK,73099,Looking for your first home or and investment property? This quaint little home in Yukon is perfect for you. 2 Bed 1 bath with a large living area and a nice backyard this is a great house. close to downtown yukon and multiple schools this is a must see. its move in ready or with a little love could be flipped for a profit. set up your showing today! Buyers funding fell through so are back on the market!
"$164,900 ",3bd,2ba,"1,471 sqft (on 1.03 acres)",12200 SW 26th St,Yukon,OK,73099,"Modular home on just over an acre with mature trees in Oklahoma City limits, Yukon address, and in Mustang school district! Insulated oversized 2 car garage with a/c & heat, carport next to garage PLUS additional 2 car garage that could be used as work shop. Home has been well taken care of from the current owner over the past 30+ years with updated kitchen. Home has city water, but there is also a working well on property for watering the yard, landscape, & garden. Mother-in-law plan, large snack bar that overlooks living room. Living room is large, as is the master bedroom. Master bedroom has large walk-in closet and on suite bathroom. Spare bedrooms are good size as well, both with large walk-in closets. There is a 10’x17’ patio room off of the dining room, that is insulated, heated & cooled, that works great as a second living/den or kids playroom! There is also a shed in the backyard for mower, and yard tools. Great starter home WITH land, or build your forever home!"
"$260,000 ",3bd,2ba,"2,632 sqft (on 0.26 acres)",3804 Regatta Rd,Yukon,OK,73099,"This one is special! Fantastic home in Yukon School District, pristine and meticulously maintained. This spacious home features three bedrooms, two full baths (primary bath has soaking tub, walk-in shower, double sinks), office w/wood floor, huge living room w/fireplace, media/flex room, large kitchen with gorgeous granite countertops and loads of cabinet space. The backyard is just fabulous with large pool surrounded with decking, several seating areas -covered patio and outdoor cooking/eating area. Large workshop w/electricity. Ten person inground storm shelter. Windows, CH&A and HWT have all been replaced. Seller provides home warranty for buyer. Great location close to Lake Overholser, Kilpatrick Turnpike/Hwy 66."
"$319,537 ",3bd,2ba,"2,026 sqft",Address Not Disclosed,Yukon,OK,73099,
"$290,000 ",3bd,2ba,"1,942 sqft",808 Bobcat Trl,Yukon,OK,73099,"What a beauty to see! This gorgeous well-maintained home is only minutes away from downtown Oklahoma City and close to I-40. Close distance to two neighborhood parks. The curb appeal draws you in. Once you enter the doorway you will be blown away by the entry, mudroom, nice sized laundry room with storage. As you walk through to the living room you will experience the open concept and bright dining and kitchen area with a gas stove and other stainless steel appliances. With plenty of storage space throughout home you won't be disappointed. Your master bedroom is spacious and provides double vanity and a walk-in closet many dream of! You can even enjoy outdoor living with a wood-burning fireplace and plenty of backyard space. **NEW below ground storm shelter**"
"$444,900 ",5bd,4ba,"2,838 sqft",13205 NW 6th St,Yukon,OK,73099,Look no further this home has it all! This is a 1 owner home with a storm shelter in the garage and a beautiful gazebo in the back yard. Perfect for entertaining with an open kitchen to the living room. Upstairs could be bonus/theater room with a large closet and half bath or 5th bedroom. Beautiful well maintained neighborhood with friendly neighbors in Yukon School district.
"$385,000 ",3bd,4ba,"2,463 sqft (on 0.26 acres)",7917 N Cloverdale Way,Yukon,OK,73099,"Another stunner in Crestone Ridge III! This rare layout, 3 bedrooms, 3 full baths, 1 half bath, Study, & bonus room...ideal for any buyer. The downstairs is loaded w/ the master suite w/ walk-in closet, freestanding soaker tub, walk-in shower & double vanity. The kitchen is open to the living room for entertaining during the upcoming holidays. Just off the kitchen is the half bath for the downstairs to keep your guest close to all the action in the open living room and kitchen. Also downstairs is true second master suite with a private full bath and closet! With beautiful wood-look tile floors running throughout the living areas in the downstairs, you'll love this house as soon as you walk in. Upstairs is the bonus room, perfect for hiding the kids' toys away from your guests or watching movies & football. The third bedroom is upstairs w/ an attached full bath which is also open to the bonus room. This house is a must see!!! Expected completion date is end of Feb-early March."
"$278,950 ",4bd,2ba,"1,770 sqft",4537 Oasis Ln,Yukon,OK,73099,"NEW HOME STILL UNDER CONSTRUCTION built by Oklahoma’s oldest building firm since 1907! This builder delivers QUALITY & VALUE. Bring your family to River Mesa!Yukon Schools.1yr home & 10yrs structural warranties.Wood fence w/steel posts to come.Covered back patio.MIL floor plan.Open Concept Living w/centrally placed fireplace & beautiful arched welcoming entry.All woodwork and cabinets are solid wood,custom build on site.Natural colors granite countertops finished with tumbled marble backsplashes to be installed soon.Stainless steel appliances include gas stove,dishwasher,microwave & sink w/disposal.2? faux wood blinds to be installed. Tall ceilings w/crown molding.Kitchen island and pantry.Lots of built-ins for storage.Master Suite-vaulted ceiling w/fan, walk in closet, walk-in ceramic tiled shower, his and her vanities, separate toilet room, jacuzzi w/window above, built-ins.Floor to ceiling linen closet.4bed w/French doors,bay window & wood floors.Completion is expected in 60 days."
"$499,601 ",4bd,4ba,"3,047 sqft (on 0.50 acres)",12701 SW 26th St,Yukon,OK,73099,"The Nottingham designer opens with a foyer, formal dining area, study, and staircase. The foyer leads to the two-story living room which has high ceilings, an abundance of windows, and a fireplace. The living room is connected to the kitchen that features an island, granite countertops, built-in appliances, and a breakfast area. The private master suite features high ceilings, corner tub, walk-in shower, private toilet, and his and hers closets. Additionally, the laundry room and mudroom can be found on the first floor. Upstairs you will find the two secondary bedrooms with an adjoining full bath and the game room with its own full bath. Additional features include customizable design options, a stunning curb appeal, and a covered porch area with high-vaulted ceilings that will make you the envy of the neighborhood. With more than 3,000+ square feet of elegant living space, 4 bedrooms, and 3 ½ bathrooms, this Nottingham has plenty of space for everyone in the family to enjoy."
"$331,250 ",4bd,3ba,"1,950 sqft",2716 SE 22nd St,Oklahoma City,OK,73107,"Every Home has a Story! Style, comfort & quality are abundant with this unique design! You will immediately fall in love with the craftsmanship of this home! Natural light throughout Kitchen, living and dining. Perfect for entertaining or relaxing. Granite countertops in the kitchen, custom cabinetry, large pantry & so much more! Spacious living, Dining/Open concept kitchen. Appliances include gas range, microwave and dishwasher, wood-look tile in main living areas, mud bench, fireplace, LARGE closets & tons of storage throughout. Unique lighting fixtures with a flair. This inviting home is filled with character & gorgeous style. Super Sweet and Spacious is what I overheard from a client. Garage is 2 .5 Don't forget our 10 Year Q.B.W. structural warranty and the manufacture warranties- we also include a 1 Year Maintenance Free Service-If you don't want to change those filters no worries, we will take care of that for you! #Everyhomehasastory Expected Completion date February 2022"
"$180,000 ",3bd,1ba,"1,514 sqft",3621 NW 19th St,Oklahoma City,OK,73107,"This lovely home is live in ready with the potential of being even greater so you chose to expand on it. 3 bed and 2 bath with a basement that could be turned into a 4th room. Open kitchen with easy access to the living area and 1 of 3 bedrooms. Used as an office currently, the new owners will have a blast setting this home up."
"$139,900 ",3bd,2ba,"1,206 sqft",4033 NW 13th St,Oklahoma City,OK,73107,"Don't miss this adorable home in the Corbin Park Addition!! Enjoy the view of the park from your own front porch! The spacious garage and workshop is ready for all of your creative projects. The large covered back patio opens up to a shaded backyard. This home is centrally located, not far from OKC shopping/food/art districts. Sold AS IS."
"$224,900 ",3bd,2ba,"1,899 sqft (on 0.70 acres)",2500 N Geraldine Ave,Oklahoma City,OK,73107,"This beautifully remodeled home features a brand new kitchen and appliances, new paint throughout, lots of new windows, new heat and air, new hot water tank, large mudroom, attached & detached garage, huge backyard with shop, storm cellar, large front yard, fencing, and lots of other updates! This home sits on a large .70 acre lot ( thats almost 3/4 acre) that is private and quiet yet it’s still located conveniently near great shopping and restaurants and about a mile from I-44 access. Will not last, call for appointment today!"
"$365,000 ",3bd,2ba,"1,768 sqft",2813 NW 16th St,Oklahoma City,OK,73107,"WELCOME HOME to this fully renovated 1920s home in the heart of the Urban Core. This home was taken down to the studs and extended to over 1700 square feet. The classic white exterior compliment the interior texture and patterns to create a modern appeal. The spacious kitchen and open living and dining area feature refinished original red oak wood floors with a beautiful stucco fireplace. Master bedroom leads into stunning master bath and also features sliding glass door to the back patio. The front hallway connects two additional bedrooms and stylish full bath. Natural light fills each space and blinds have been installed throughout. ALL NEW APPLIANCES: Range top, Oven, Microwave, Dishwasher, Refrigerator, Washer and Dryer! Located near the Plaza District, this home sits right off 16th Street with a beautiful extended ribbon driveway! This home has plenty of yard space to enjoy and entertain. Make this home yours today."
"$145,000 ",2bd,1ba,955 sqft,3729 NW 16th St,Oklahoma City,OK,73107,Beautifully remodeled home. Refinished hardwood floors in living and dining. New carpet in bedrooms. New counter tops. Updated garage door with opener. Updated light fixtures. Updated range. Updated heat and air. New hot water tank. Updated high efficiency thermo pane windows. Six year old roof. Huge fenced in yard plus fenced dog run. Storage with concrete floor. Move in and unpack the boxes! This home is cute as can be.
"$312,000 ",3bd,2ba,"2,883 sqft (on 0.34 acres)",3601 NW 19th St,Oklahoma City,OK,73107,"LOVED AND BEAUTIFULLY MAINTAINTED BY THE SAME OWNER FOR OVER 40 YEARS, THIS HOME SITS ON 1/3 ACRE (MORE-OR-LESS) CORNER LOT, THAT COULD BE A GARDENERS PARADISE! WITH A GAZEBO, MATURE LANDSCAPING, LARGE WORKSHOP, DETACHED 2 CAR GARAGE, KOI POND AND GARDEN AREA. MAGNIFICIENT HARD WOOD FLOORS AND NATURAL WOOD TRIMS THROUGHOUT HAVE BEEN STRIPPED AND FINISHED TO THEIR ORIGINAL BEAUTY. ORIGINAL FIREPLACES IN LIVING AND MASTER, UPDATED ELECTRIC AND PLUMBING, WITH A BASEMENT FOR LAUNDRY, ADDITIONAL STORAGE AND SHELTER. MULTIPLE LIVING SPACES CREATE FLEXIBLE FLOORPLAN OPTIONS: FORMAL LIVING WITH A SIDE PARLOR/STUDY, FORMAL DINING, BREAKFAST ROOM, DEN, SITTING ROOM/STUDY OFF LARGE MASTER. HALF-BATH OFF THE KITCHEN/DEN WITH FULL BATH UPSTAIRS. THIS HOME IS ALREADY BEAUTIFUL AS IS BUT WOULD BE A SHOWPLACE WITH YOUR PERSONAL DESIGNER TOUCH AND A FEW UPDATES!"
"$209,000 ",3bd,2ba,"1,488 sqft",2848 NW 17th St,Oklahoma City,OK,73107,"Welcome to a historic architectural charming home. Located in the sought-after Crestwood Addition. Blocks from the Plaza District, Midtown, and Downtown Oklahoma City. Enjoy the bike trail to your favorite restaurants and entertainment. Fall in love with the spacious open living-dining floor plan. Captivating natural light from the newly installed NFRC Rated Energy Star Approved double pane slider picture windows installed 10/7/2021. Truly to brighten every day you spend walking on the natural oak wood floors or stepping outside to the mature landscaped neighborhood. Enjoy the luxury of relaxing on your private covered front porch, perfect for morning coffee and evening reading. Decorating opportunities are endless to create your paradise lifestyle. Don't delay this one-of-a-kind home, schedule your showing today!"
"$199,000 ",2bd,2ba,"1,498 sqft",1208 N Warren Pl,Oklahoma City,OK,73107,"This is the one you've been searching for! This home is the perfect chance to enjoy a beautifully updated well cared for home and have the opportunity for additional income. This beauty boast marble look epoxy flooring, granite countertops, updated tile, stainless appliances, and a beautiful painted brick fireplace. Perfect for entertaining with in ground pool and covered gazebo, amazing sun room with exposed brick and a built in bar. The back yard is split with a new 6ft fence to allow privacy for the guest house that has its own yard and entrance. Guest house is 450 sq ft. not included in total square footage previously rented for $700 a month includes loft bed, fridge, cook top, and washer & dryer connections. Call today to schedule your showing!"
"$275,000 ",3bd,2ba,"1,555 sqft",2623 NW 12th St,Oklahoma City,OK,73107,"This home is going to WOW you. The living room has tall vaulted ceilings with wood like flooring and lots of light. You will enjoy the charm of the open floor plan with so many upgrades new appliances, quartz counters, cabinets new faucet and sink. Bathrooms are so cute with new tile, LED mirrors and new sinks and faucets. Three bedrooms with detached garage with workshop. NEW ROOF and AC. New wood like in all bedrooms. Buyer to verify all info including schools. Wirkshop/bonus area IA attached to the garage insulated with window unit. Great for hobby area or office and not in square footage. Seller is licensed real estate broker."
"$95,000 ",2bd,1ba,874 sqft,330 SW 27th St,Oklahoma City,OK,73109,"Great investment property in an awesome location! Historic Capitol Hill Addition near Scissortail Park, Myriad Gardens, and downtown, less than 10 min. drive. Conveniently located in a corner lot across the street from the Metro library. Come see it before it's gone!"
"$150,000 ",2bd,1ba,954 sqft,909 SW 26th St,Oklahoma City,OK,73109,
"$114,900 ",2bd,1ba,804 sqft,Address Not Disclosed,Oklahoma City,OK,73109,
"$150,900 ",4bd,2ba,"1,474 sqft",421 SW 35th St,Oklahoma City,OK,73109,"Newly remolded, 4beds, 2 full baths home. All new electrical, plumbing, windows, part new tile and original wood flooring. New paint throughout. This is a perfect move in ready home. Easy access to downtown and I-40. Let make this home yours today."
"$160,000 ",5bd,2ba,"1,516 sqft",125 Philbrook Dr,Oklahoma City,OK,73109,"5 BEDROOM SPECIAL IN SW OKC...INVESTOR SPECIAL....Built in 1963 with 2 living or 5 bedrooms, converted garage with a 2 car carport making a 2 Livingroom or a 5 bedroom home. 2nd Living or 5th bed with 200 s/f and has a masonry fireplace. Fresh paint through-out with wood look flooring. Four additional bedrooms, 1 bath, with a spacious kitchen with lots of oak cabinets, counter-tops, Built-in electric cook-top with built-in elect oven. Dining room with patio doors and plenty of room for a large dining table. Inside utility. Wood and Chain link fenced backyard and with mature shade trees, covered patio and lots of room to run and play. Front yard with 2 car driveway with 2 car Carport. Home close to schools, shopping & approx 1 mile to I-35, and 15 minutes to Tinker AFB. This investment property will sell quickly, hurry to schedule your appointment. Call Today"
"$75,000 ",2bd,1ba,792 sqft,4613 S Melrose Ln,Oklahoma City,OK,73109,Must see 2 bed 1 bath house tucked away in a small one way in and one way out neighborhood. Has been a rental for the past several years. Currently vacant. Has lots and lots of potential. Great for a first time buyer or investment property. Being sold AS IS. This won't last long.
"$199,900 ",3bd,2ba,"1,200 sqft",545 SW 34th St,Oklahoma City,OK,73109,"This gorgeous New Construction home sitting on a corner lot will offer amazing features upon completion! A spacious living with several windows allowing natural light to flood the room, it's completely open to the kitchen that provides a breakfast bar! The primary bedroom is a true retreat offering a walk-in closet and an en suite that features a double vanity. This home also features an inside utility and a 2 car garage."
"$93,900 ",2bd,1ba,918 sqft,Address Not Disclosed,Oklahoma City,OK,73109,
"$120,000 ",2bd,1ba,860 sqft,1012 SW Binkley St,Oklahoma City,OK,73109,CUTE!! Ready to move in starter home or investment property! Completely remodeled and ready to make memories!
"$48,000 ",2bd,1ba,"1,172 sqft",623 SW 48th St,Oklahoma City,OK,73109,Vacant investment property! Perfect opportunity for a rip to the studs rehab or demo and rebuild. Property being sold as-is.
"$160,000 ",3bd,2ba,"1,579 sqft",1120 W Peebly Dr,Oklahoma City,OK,73110,"Great home that has three bedrooms, one and a half bathrooms, 2 car garage, and an oversized living room with a fireplace and plenty of storage space. Located close to I-40, Tinker AFB, shopping, restaurants and entertainment."
"$117,900 ",3bd,1ba,936 sqft,403 W Fairchild Dr,Midwest City,OK,73110,Great home located in a very good area close to everything. Clean Fresh paint updated flooring with a Large back yard. Don't miss seeing this home.
"$179,999 ",3bd,3ba,"1,639 sqft",3432 N Glenvalley Dr,Midwest City,OK,73110,Price Reduction! Open House Saturday November 20th from 2 to 4 pm. Come check out this spacious 3 bed 2.5 bath upstairs home with room for the family to grow. The downstairs has vinyl wood flooring. This home is great for entertainment with the two living areas downstairs. One living room could be used as a office or family room. There is a bar in the living area. The galley style kitchen gives great counterspace for holiday dinners. The spacious backyard is perfect for family barbecues and gatherings. Come view this home and make it yours!
"$210,000 ",3bd,2ba,"1,605 sqft",3504 Rolling Ln,Midwest City,OK,73110,"Don't miss out on this completely remodeled and updated classic home in well established neighborhood with lots of character. Custom kitchen with granite counter tops and new appliances, custom bathrooms and storm shelter. New roof and updated vinyl windows. Large bedrooms and a spacious 2 car garage on a corner lot located conveniently to shopping, restaurants, Tinker Air Force Base and approximately 10 minutes from downtown OKC. Schedule your showing today!"
"$188,000 ",3bd,2ba,"1,898 sqft",728 Greenwood Dr,Oklahoma City,OK,73110,The home has lots of updates.
"$155,000 ",4bd,1ba,"1,378 sqft",2205 Highland Rd,Midwest City,OK,73110,"Clean and move-in ready FOUR BEDROOM home in the Mid-Del school district features restored hardwood floors in hallway and three of the bedrooms, ceramic tile in kitchen, bathroom and living room and new vinyl plank flooring in laundry and fourth bedroom. Generous concrete driveway has a three car covered carport. Large covered wood deck off the back of the house overlooking a peaceful fenced back yard with two storage sheds."
"$254,900 ",3bd,3ba,"1,627 sqft",802 E Lockheed Dr,Oklahoma City,OK,73110,"PRICE REDUCED!!If you are looking for a unique home look no further!!! Beautiful contemporary 3 bedroom 2.5 bath home in the heart of Midwest City. Large open living area that flows nicely into the upscale kitchen. Commercial grade vinyl flooring that makes cleaning a breeze! Designer finishes and colors abound in this gorgeous home. Kitchen is sleek and modern with all the finishes you would expect, quartz counters, stainless steel appliances. Master bedroom is a good size with a great closet and lovely bathroom. Upstairs bedrooms are well appointed with a great bath also. Large windows let in lots of light and modern light fixtures sparkle! Don't miss out on this unique home that the builder has spared no expense!! Minutes from Tinker Air Force Base and I-40 and Boeing."
"$189,000 ",4bd,2ba,"1,907 sqft (on 0.27 acres)",2703 Del Rey Cir,Oklahoma City,OK,73110,"Remodeled in Carl Albert School District! New tile, carpet, kitchen cabinets, and appliances. Bathrooms have been remodeled with subway tile in the shower, granite countertops, and new tile. 4th bedroom could be used as an office, playroom, or a flex space with its own entrance/exit. Large backyard for entertaining. Garage floor epoxy for a finished feel."
"$236,000 ",3bd,2ba,"1,974 sqft (on 0.55 acres)",2936 Mockingbird Ln,Oklahoma City,OK,73110,"This beautiful home is located in the middle of Midwest City near shopping, TAFB and just 10min form downtown OKC...all while having an amazing country feel when you step into the over sized back yard. This property features a spacious kitchen, two living areas, updated bathrooms, original wood flooring, and upgrades throughout. Please schedule your showing ASAP the pictures do not do it justice."
"$172,000 ",3bd,2ba,"1,664 sqft",301 E Kittyhawk Dr,Midwest City,OK,73110,"Fantastic total remodel near Tinker! This adorable 3 bed 2 bath home is in a prime location walking distance to schools and shopping and a 2 min commute to Tinker! Loads of extras with a huge living space and large bedrooms. The kitchen is roomy and features butcher block countertops! Low E windows throughout save on utilities. Property features a large 8 person OZ safe room inside the home for added safety! Front and side driveways on this great corner lot. Front and side entry to a large garage that can accommodate a car, motorcycle or a large shop. Privacy fencing around the property with a large patio to host your parties! It's great! And at just over $100/sq ft it's priced to sell! Come take a look at make it yours!"
"$199,000 ",3bd,2ba,"1,820 sqft (on 0.28 acres)",1152 NE 59th St,Oklahoma City,OK,73111,"Home is totally updated inside, Large living room with fireplace, and bonus room. The kitchen totally remodeled, and New built-in oven and cooktop will be installed at purchase. The central heating unit is being replaced, so all you have to do is bring your furniture and move in. The roof is less than 2 years old. Great central location, easy access to anywhere in the metro."
"$115,000 ",4bd,2ba,"1,914 sqft",2303 N Lottie Ave,Oklahoma City,OK,73111,"This Historic Home is Waiting for Your Imagination!! With Some TLC it Can Easily Be Restored to the Beauty it Once Was. With 1,914 sq feet & 4 Bedrooms It has Plenty of Space for a Family of 4 or it Could be Used as a Unique Investment Property, Possibly a Rental or Airbnb. Located Minutes from OU Medical, Midtown, Bricktown, and so many Restaurants. Also has easy access to I-35 & I-235. Come Check it Out! Home is being Sold in As-Is/Where-Is condition."
"$139,900 ",2bd,1ba,"1,112 sqft",2045 NE 17th St,Oklahoma City,OK,73111,"You DON'T want to miss out on this house! Recently remodeled in 2019 along with the roof being replaced the same year. This house has new floors, windows, walls, paint, plumbing, electrical, along with Central heating/air! Kitchen and bathroom have also been beautifully redone. The new windows have made the house brighter and breezy! The location on this house is amazing, It is about 3 miles away from Downtown OKC, about 1 mile away from OU Children's Hospital + OU health science center and about 2 miles away from the State Capitol! Don't miss your opportunity to see this house before its gone! (House will be sold as is)"
"$152,000 ",2bd,1ba,929 sqft,2118 N Prospect Ave,Oklahoma City,OK,73111,"Only minutes away from Downtown, Midtown, OU Medical Center, & the State Capital, this house is conveniently located close to restaurants, museums, hospitals, and interstates. Upon walking into this remodeled 2 bed, 1 bath house, you will be greeted with a large original brick fireplace. The living room and bedrooms have amazing natural sunlight coming in through the windows. This house has great floor plan that is semi-open allowing everyone to easily gather around the living, dining, and kitchen areas. The kitchen is completely remodeled with granite countertops and stainless steel appliances and vent hood. The bedrooms, bathroom, and even a separate laundry room are steps away from the living room and kitchen. Step out back to find an amazing large open backyard with plenty of room to play. With a brand new concrete driveway and ample parking space, this house is perfect for homeowners or investors as a rental or AirBNB. Schedule your showing today and make this house fit you!"
"$232,900 ",4bd,2ba,"1,612 sqft",5821 N Rhode Island Ave,Oklahoma City,OK,73111,"This New Construction will offer amazing features upon completion! A spacious living with several windows allowing natural light to flood the room, it's completely open to the kitchen that provides an island with a breakfast bar and a pantry! The primary bedroom is a true retreat offering an en suite that features double vanities and a walk-in closet! This home also features an inside utility, a 2 car garage, and a covered patio!"
"$185,000 ",5bd,4ba,"2,988 sqft",1415 North Ct,Oklahoma City,OK,73111,"Investor Purchase! This is property is sold as a package with MLS #: 984333 and the legal description is Capitol Courts Add 003 000 Lots 21 & 22 and the package price is $185,000. Sold as is!"
